Time,Target Position,Current Position
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=206514918)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=238488266)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=270658035)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=302529616)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=335354662)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=367497938)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=398500542)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=430622805)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=462331407)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=494300231)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=526333569)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=558369146)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=590330806)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=622382922)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=654475870)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=686535781)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=718523413)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=750550378)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=782565445)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=814428120)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=846381080)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=878415696)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=910485619)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=942412700)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662795, nanosec=974084318)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=6113241)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=38175483)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=70231794)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=102201305)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=134557045)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=166527857)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=198517081)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=231384461)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=263123888)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=294319866)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=326317831)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=358063690)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=390163089)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=422220590)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=454077798)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=486150335)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=518536909)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=550419622)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=582528477)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=614548479)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=646523559)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=678512074)",3000.0,3001
"builtin_interfaces.msg.Time(sec=1702662796, nanosec=710882014)",3000.0,3001
