Time,Target Position,Current Position
"builtin_interfaces.msg.Time(sec=1702659878, nanosec=816108525)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659878, nanosec=847958411)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659878, nanosec=880050915)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659878, nanosec=912199390)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659878, nanosec=943973392)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659878, nanosec=975830695)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=7800957)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=39982319)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=71828551)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=103886033)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=135927576)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=167846794)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=199957588)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=231947277)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=263896010)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=295946184)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=328431047)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=360036333)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=392236069)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=424183085)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=456338629)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=488420289)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=519896878)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=552050572)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=583966806)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=615925559)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=647534839)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=679788786)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=711863546)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=743851927)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=775854038)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=807861902)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=840092887)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=872200846)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=904383270)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=936138044)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=968115289)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659879, nanosec=999966655)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=31886015)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=63819056)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=95772951)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=127826330)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=159788487)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=191761333)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=223753976)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=255824351)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=287849669)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=319858272)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=351845536)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=383899879)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=416164241)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=448150081)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=480413740)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=512384615)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=544320810)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=575907790)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=607881356)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=639924941)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=671833086)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=703864112)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=735919056)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=767917009)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=799853092)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=832195898)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=864014963)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=896822498)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=928361737)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=960656477)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659880, nanosec=991898381)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=23849604)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=55928466)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=87861820)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=119816164)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=151850668)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=183885500)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=215912117)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=247978129)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=280024858)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=312032177)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=343990380)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=376257955)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=408307314)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=440364817)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=471854835)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=503834732)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=535841642)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=567045460)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=599189306)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=631036444)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=662960980)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=695095609)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=727122637)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=759406202)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=791130993)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=823105423)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=855113125)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=887099601)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=919048729)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=951018336)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659881, nanosec=983013702)",3000.0,3002
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=15390594)",2100.0,3002
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=47789032)",2100.0,3002
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=79823968)",2100.0,2969
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=111924505)",2100.0,2876
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=143898121)",2100.0,2779
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=175930882)",2100.0,2684
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=207969348)",2100.0,2589
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=239944160)",2100.0,2495
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=272222748)",2100.0,2401
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=304349182)",2100.0,2316
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=335832993)",2100.0,2262
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=368296000)",2100.0,2242
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=400111525)",2100.0,2239
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=431919147)",2100.0,2234
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=463913891)",2100.0,2223
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=495917109)",2100.0,2207
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=527893419)",2100.0,2195
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=559887749)",2100.0,2188
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=591883568)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=623857721)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=655888425)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=687933029)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=719898497)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=752123650)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=783981321)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=815818556)",2100.0,2187
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=847898394)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=880364947)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=912182130)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=943834930)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659882, nanosec=975776938)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=7743605)",2100.0,2187
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=39723268)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=71683516)",2100.0,2187
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=103684390)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=135738230)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=167654141)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=199695834)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=231749075)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=263729845)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=295924515)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=327664898)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=359815064)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=392384169)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=423538004)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=456243698)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=487776742)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=519436570)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=551856356)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=583825915)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=615827600)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=647724312)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=679475245)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=711497996)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=743562114)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=775794425)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=807943504)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=840251218)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=872598561)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=903845302)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=935731297)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=967746186)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659883, nanosec=999702708)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=31786507)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=63757241)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=95725052)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=127661550)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=159678328)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=191677119)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=223932054)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=255901644)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=287813211)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=320148795)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=351852175)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=383763442)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=415795059)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=447792999)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=479769202)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=511753564)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=543747392)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=575631657)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=607786187)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=639461982)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=671416144)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=704117063)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=735867223)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=767608578)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=799883685)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=831822274)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=863659485)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=895623234)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=927559495)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=959020545)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659884, nanosec=990806890)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=23743453)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=55538473)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=87590548)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=119658868)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=151776090)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=183746837)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=215810657)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=247879170)",2100.0,2186
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=280066961)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=311978040)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=344138050)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=375698890)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=407723970)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=439561893)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=471554100)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=503891058)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=535493188)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=567529655)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=599847221)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=630904576)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=662743107)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=694820489)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=727762022)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=759818051)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=791787392)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=823812216)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=855683766)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=887838656)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=919742173)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=951856797)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659885, nanosec=984015651)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=16630245)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=47923317)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=79529110)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=111539971)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=143451268)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=175459416)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=207657514)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=239647999)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=271681115)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=303573263)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=335485499)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=367565482)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=399593820)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=431657357)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=463863125)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=495715128)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=527613118)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=559540971)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=591552391)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=623443368)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=655753919)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=687419540)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=719653256)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=751568182)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=783678996)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=815682450)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=847666377)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=879629871)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=911680018)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=943717987)",2100.0,2185
"builtin_interfaces.msg.Time(sec=1702659886, nanosec=975812455)",2100.0,2184
"builtin_interfaces.msg.Time(sec=1702659887, nanosec=7802738)",2100.0,2184
